"rating","day","blog","text"
"Liberal",125,"db","abl accord account action actual administr administr alleg almost alway among anoth anoth anyon appear arm armi armi around ask assign associ attack attend bad becam becam becam began believ brave bring can caught chang chang charg christian christian christian citizen claim combat combat combin come conduct consequ conservat consid consid constant constitut cours court court decid declin democrat democrat democrat democrat deni deni dictat digbi direct disappoint disappoint disgrac due earli either els embrac ensur episod exist face fact famili fellow fellow first follow forc forc found freddi free fundament give good govern govern grew gun hall hall hall hall hall hall hall hall hall happen holiday import inde instead iraq iraq issu issu issu join juli just kind kind know know known left less less less liberti life life life like like like like limit linktocommentspostcount logic long made major make mani meet meet meet meet meet men might might militari militari militari militari militari militari mind money muslim must need need new new new news nice norm normal noth noth now now okay open open order order organ outsid oversea pack part particular particular perhap physic polit popul postcounttb practic practic presid pressur promot public pursu reason religi religi religi religi religion report republican republican republican respect result return return right risk run said sanction say see seem separ serv servic shut simpli sit social societi soldier soldier soldier somewher soon staff station station still strong stronger suffer superior superior superior surpris suspect suspect suspicion swift tell thing thing thing thing thing thing think think think threat threat threat time time told tomorrow took tour troop true two unlik view virtual want way way way way whether whether will will will will will will will win wing wish without without world york"
"Conservative",140,"at","accus accus accus act africa africa african african african african ago ago ago anger angri angri area arizona arm assault attack attack attack attack attack author bar becom began began began black black busi call caus central church citi communiti concern countri countri countri cri crime crime crime crisi day decid discuss discuss discuss district dozen earth econom econom end especi estim fear first foreign foreign foreign foreign former four franc grow guard guess gun happen hat head help high home hous hous hundr hundr immigr immigr immigr immigr increas job job join joseph just kill kill known leader leav like live live man mani mani meet mile million million month news now one one ordinari own peopl peopl per polic polit poor poor poor poor poor presid presid problem properti racial racial radio rate renew resid rise robert said said scale secur seek seem set sinc soon south south south south south south spread spread squar state station steal take take taken terror thought thousand three time tip tip town two unemploy updat violenc violenc wage wait week week welcom women women yesterday yesterday"
"Conservative",86,"ha","alarm almost anymor anywher appear area aren armi armi ask avoid baghdad basra basra battl better bless bring british british burn campaign cite citi citi clear commerci confirm countri crack danger day democrat disastr draw either els even everi evid expect face fewer fight flip forc forc formal found four four get great great hard head head increas iraq iraqi iraqi iraqi just know last last light maintain make man militia mistak need news now nowher obvious occup one one oper order part polic protest put question question region report respons return roll room rule sadr script secur secur see shiit solut someon south stem steven strategi subject sudden sudden take term though time today toward train transform troop troop troop troop true truth tune tune version wage war warn withdraw won wonder word write year year year year yet"
"Conservative",255,"at","alaska alaska alaska alaska alaska america america among appoint attent author averag billion budget bush campaign campaign can case certain communiti compar compar complet concentr concentr consid constant critic differ distinct duti editori employe escap even exercis experi factor far find fit focus four georg governor governor governor governor governor governor governor governor governor governor governor governor greater idea ignor initi institut journal legislatur maintain mani mani massachusett mayor media media model much nation new new obama obama offic offic offic one one one organ palin palin point point polit popular potenti power power power power power power power power presid rank rate rate relat relentless respons respons respons sarah scale scientist serv servic show sign small state state state state state state street strong texa texa texa thank town tri two veto veto vice virginia wall weak well west year york"
"Conservative",57,"at","abl abl barack barack best block blog bush campaign case choic choic choic citi citi citi classic congress congress conserv consist control control crime democrat econom economi educ encourag even everi favor florida focus follow free free free giuliani good good good good governor hous hous idea idea improv improv interest intern invest jame keep kid left lewi liber limit low lower market market name new obama obama obama opposit parent part polici polici polit posit program program propos public question rate relat republican republican republican rudi safeti say school school school school school school seem senat shape simpl singl socialist staff talk tax teacher teacher teacher took trade turn union union use want white white win won year york"
"Conservative",261,"at","accord accord accord accus admit adult agent american articl articl author averag back behind belong best border border border border build caught certain certain charg charg come compet complain complain complaint complaint consist democrat democrat democrat democrat dog drive drug economi especi face fair feder feder file florida follow found found front get girl hear held help hide hous howev illeg illeg illeg illeg illeg illeg immigr immigr immigr immigr immigr immigr incom indic indic item just just law lie loud might might mix month morn morn much near newspap otherwis parent part peopl peopl pick piec polit public rate recent record remind rep rep rep report repres republican respons restrict rise said search seat seat secur sin someon son son son state stop stop street subject sunday support surg taken time time two two unemploy unit vote vote wage wall weapon websit white worker world yearold"
"Conservative",120,"ha","accus accus actual address address administr alli along also altern american american announc anoth appear appear appreci argu back bad bad base becom believ believ believ best best bigger blame blog can can can can can case caus chang chang chang chris clear clinton clinton clip clip condit consult context contradict correct cours critic critic critic current democrat democrat desper didn didn doesn either either elector emphas endless enemi especi excus fail first get get given given got govern grant great guard hand hillari huffington hussein imagin import includ insid interest interest interest interview iran iran iranian iraq iraq iraq iraq iraq iraq iraq iraq iraq iraq iraq iraq iraqi islamist isn isn john just just keep land latest leav left left less long longterm look lot make maliki matthew maverick mccain mccain mccain mccain mccain mccain mccain mccain mccain mean mind mine morn much narrat narrat narrat nation nation need never newli note now now occup one one open oper opinion opinion oppon opportun opportun opportun order particular peopl per period play point poll portion posit posit posit posit posit posit posit post power presenc presenc presenc presenc presenc presid pressur problem promot prospect prove push radic realli reason reduc refus regard region remain remain remind remind remind respons revers right saddam sam say see seem shi show signific signific sinc sinc sincer smaller sound spend squar stanc stori strateg strengthen sunni support suppos team terrorist thank thought threaten time time today told tomorrow topic transcript troubl trust understand updat use usual want want want war war warrant wasn wasn well whatev will without wrong year year yesterday yesterday"
"Conservative",14,"ha","absurd accept activist actual air air alli alon anoth argu audienc barack barack best bet bet bet bet beyond bill black black broadcast camp campaign can card career certain clinton clinton clinton clinton clinton clinton clinton cnn combin come comment comment comment communiti communiti confront defens defens democrat divis drug drug drug earlier either either elect elect employ employe employe end exchang expect exploit exploit extrem find finish former founder general hire hour ideal ident industri industri interview isn issu john johnson johnson johnson johnson johnson johnson johnson johnson johnson just known known latter less long longer lower made martin martin martin matter michell minut mount move nasti near neither network network network nomine notic novemb now obama obama obama obama obama obama obvious one one one one open open past peopl perhap play play point polit practic privileg program program prospect radio rank react reaction refer resort robert robert robert second secret segment sen sens show sign spokesman standard start success sure take talk thing today took ugli use video wage wage want want way weak weekend went weren win without work work wrap"
"Conservative",234,"ha","accord accord action admit agreement allow along also also although american amount area back back base begun begun build chang citi command conduct control dump economi ethnic ethnic europ even expect expect far forc forc foreign friday fulli general general georgia georgia georgia georgia georgia georgia good haven heavili home honor hour indic intent involv john keep key key line measur militari minist movement much nation nato nato new night noth now offer offici open oper option outsid pledg presid process pull pull quo rebuild reject remain remain remain report report report return rough russia russia russia russia russia russian russian russian russian say see send signal skeptic soon south south special start status strateg strong strong support territori territori thus tomorrow unit vagu vital weaken west whether will will will withdraw within within zone"
"Conservative",2,"mm","accomplish add advantag advantag aggress ago agre along american believ campaign can can caucus comment comment congress congress conserv control control correspond date decemb democrat democrat democrat don drive elect follow formal gain get give given gone good gop gop grassroot hard high hope illeg immigr implic inde inde just kind last look lost mani mani mark moment morrissey much note note note number number observ one onlin partisan paul paul peopl peopl peopl peopl percentag perform perhap point pollster prepar presidenti presidenti primari primari primari primari race rasmussen reason regist regist registr registr remain report republican republican republican republican republican republican requir run seen sinc spend state tabl take take think though three time time time two victori vote voter whether wild year"
"Liberal",365,"db","african alli american american appoint argu barack believ black black black black black blagojevich bunch challeng chanc character chose cnn condemn congression congressman count countri cover credit dare defeat democrat democrat democrat deni deni determin divid dramat effect elect elect elect enough entir etc ever factor fair fair figur fill firm give grant hang heard heat heavili henri histori histori histori illinoi illinoi illinoi includ interest interest introduc issu just know latest lay leader like like line linktocommentspostcount lot mad made made make man man media member method michael morn must new noth novemb obama obama obama obvious one piec point point point polit polit polit politician posit postcounttb power press prospect public push qualifi quit race racial racial radio rais real realli realli reason recent record reid reid reid revers rhetor room rush rush rush rush said said said say score seat seat see seen senat senat senat senat senat show side side somebodi south spot stake stand start start state state statement station sure take term think think tomorrow tool tri two unfortun uniqu urg use use vote voter warn washington way went whether whether white white white white will will word word work york"
"Conservative",275,"ha","actual actual america answer anticip anyon babi back bailout bailout bailout bill call care caus chanc come cool credit crisi current deal delay done drop econom economi eight even except favor favor five gain gain get good gop hous indic led level like like look look may mccain mccain michigan middl monday month need new night nine number obama one opposit passion pennsylvania point point polit poll poll poll read ride senat shouldn six state street tomorrow took trend trend true wall wapo wave win worri yesterday"
"Liberal",169,"tpm","abc accord accus advis aggress aggress ago ago ago also american approach approach attack attack attack attack attack attack attack audio away bush call call call call camp camp campaign campaign center chief click come come come command comment comment confer constitut credibl critic critic current current debat dem depart detaine domest echo elect even evid fail failur foreign four four full general give gop guantanamo harm hillari hillari hillari hit hunt interest interview issu john justic kerri languag last late latest lawyer line loss made mani massiv mccain mccain mccain mccain mccain memori moment move muslim nation nation near news obama obama obama obama obama obama obama obama obama outlin perfect play polici predict pretti prison receiv repeat report republican republican respons respons reveal said said secur secur seen seiz senat senat septemb septemb septemb seven shift soon sought strong success suggest tactic terror terrorist though trade tri two understand updat use use use war world world year year year year yesterday"
"Liberal",248,"tpm","advanc anymor anyon big caus caus chang come comfort comfort constant contrast countri countri countri countri countri crowd direct els enjoy excerpt faith featur fell fight first first fix fix get given good govern hand happen help hint idea introduc introduc just just just justic lack let life life like love love love love love man mani mani mayb mccain mccain mccain member move need never next noth obama obama obama offer old paragraph parti partisan peopl peopl place point possibl presid presid previous prison problem problem proud prove reach record refer round second seem senat servic solv someon sound speech spend stop suffer sure tonight vice wait want warn washington washington washington will will wisdom work work worth"
"Conservative",57,"ha","acknowledg admit agenda aggress aggress allow allow apolog appar appeal associ attack attack attack audio avoid barack beat bill campaign campaign campaign chose claim clinton consid contrast credibl credibl debat didn didn difficult disagre doesn elect elect els emphas emphasi emphasi engag ensur establish everi explicit favor fear fourth free futur game general give got hand harder hey hillari host hussein instead intellectu intellectu intend intent introduc isn issu issu issu john juli just just key kind kind lack later later legitim like like littl made make make may mccain mccain mccain mccain mccain mccain meme middl mind name name need nomine obama obama obama obama obama obama obama obama one opportun paint paint pass perfect platform play play polit post press probabl proper pursu pursu race ralli rather real realli record record remark republican repudi repudi repudi repudi return saddam say serious set stage standard start stump suggest tactic taken test test today tone tri use video way will will win won won wouldn"
"Conservative",101,"at","activ advertis almost america america america answer apart approach around assum attack attack attempt battleground begin behind behind belong best buy call campaign campaign chosen clinton come commit compar comparison consid consult contribut deep defend democrat democrat democrat democrat democrat dinner doubt earli elect elect emerg expect expect expect expect fail far far financ first founder fund fund general georg georg goal gop gop group group group group group group group group group group hope illinoi independ independ independ john kind known laid last liber liber like littl lot main match matter mccain mccain mccain mccain mccain media media media meet million million million million money money money money month move need need negat night nomine now now now obama ohio parti paul plan plan pocket pocket previous primari probabl product progress progress public quarter quiet rais rais rais rank report republican run said said said say season seek senat serious side signific similar spend spent spread state struggl top top tuesday twice usa usa vehicl voter whole will will will will worth year yet"
"Liberal",252,"db","absolut actual actual actual actual add advertis agre agre american anoth appeal appeal appeal appeal assembl attack away back back back back barack base best best better better better beyond built bush camera camera campaign campaign campaign campaign campaign campaign campaign campaign campaign campaign campaign can can can candid care chang cite class clear coleman communiti communiti compel complet complet concern content convent convent core counter countri countri coupl credibl cri critic crowd crucial cut cut cut day dead debat democrat denver differ direct dnc done econom economi effect eight either elect emot end end end energi enough entertain even even everi everyon exampl exampl extent fail famili famili featur featur field final fine finish fit five game general get get get get get get great green guy happen hispan hit hit hous hous howev idea idea imag imag inform instead instead intern job just kind know know larg least level liber like like like like linktocommentspostcount list littl littl live long made make mccain mccain mccain media media messag messag messag messag messag messag million mistak moment motiv move movement msnbc music need need new new news next night notic now now number obama obama obama obama obama obama offer offer often old one one one one one oppos ordinari ordinari organ origin overal palin pass passion passion path peopl peopl peopl peopl perfect person perspect phrase piec polici polici polit poll poll poor posit possibl postcounttb present presum pretti primari produc protect push put put put question realli realli reinforc releas reserv reveal right right right right run say say scream second second second second see seek sen send seven show side signific six someon someth someth someth somewhat soon speak speak spirit spot spot spot spot spot stand standard start state statist statist stock stori strategi style sure swing take talk talk televis tell thing thing think think think think tie today today togeth total track trail tri turnout understand use vision voic vote voter way way way way way way white will will word work work work worri wrong wrote"
"Conservative",199,"mm","advoc alarm also american american away back big big boy brought call car car caught chang climat cost cours daughter debat dedic didn didn display driver earlier econom end energi engin enjoy especi even even event eventu evid fact final follow forc frank full global global global global global gore gore gore gore great high hypocrisi instead leadership left left love mani member minut morn near news now organ physic plenti point previous proclaim prosper public public repres revers ride saw say scienc societi societi speech sponsor staff stanc stand start sure take take taxpay time today top town town two updat updat valid video warm warm warm warm warm washington watch whose wife wors write"
"Conservative",351,"at","actual administr admit advantag advic ago allow also america announc anoth answer answer answer appar appear april around articl articl ask balanc basic basic begin behind better bit board bottom breath budget bush bush california can care case case case case chairman chang channel christian christian christian christian christian christian church church church circul clear clear click combin comput condit confer constitut contest contribut court court cover current daili day deep definit deliv detaine develop difficulti discov domin donor dramat earn easi editor employe end exit expect extrem face fact fact fail fail fail figur financi financi financi find foot forc forget form forward found fund fund fund fund fundament general general global good good guess headlin heard heart histori hour human imagin import increas inform inform initi instanc intern internet internet iron john journal justic kennedi leader like link list live long look lose loss mail make make manag market mean mention million million million million mind miss mission monitor monitor monitor monitor monitor monitor monitor monitor monitor monitor monitor monitor msm msm msm msm must must must name near need net new news news news news news newspap offens oper oper order organ outlet outlet peopl peopl perhap period perspect place posit press pretti print print print print product project project promis promis provid provid provoc publish publish publish pursu rather reach reader real recent regard relev repeat report report report report requir result reveal rule said said said say scienc scienc scienc scienc scienc scienc scienc screen seem show show societi sound sound sound state stori strategi strategi stretch suprem take technolog tell thought time time time time translat trend trend trend trend uniqu uniqu usual version version vote vote vote vote wake want want way web web websit websit websit websit well whether will will will wisdom word word year year year year year york york"
"Liberal",323,"tpm","accord advis affair among appoint approach approv ask attack attend attend barack barack barack biden biden bill bill cabinet campaign campaign capitol car caucus caucus chicago clinton clinton club committe conflict countri crowd danger day decad dem dem dem dem democrat democrat democrat democrat democrat despit domin end engag environ event event expand expect extra fact feder feder find first florida foreign foundat foundat four four get good gop govern govern grassroot hand hand hard hill hillari hold homeland hous inaugur incumb instead instead involv januari joe joe joe judg just keep keep larg lead leader left left let let lieberman lieberman lieberman lieberman lieberman lieberman like major major major mani massiv match mccain mccain meet mere might million million minor move must nation nation new new new number nyt obama obama obama obama obama obama offici one one open order outrag parti peopl peopl polici poll poll post post potenti prepar prepar press pretti privat probabl process propos public public public reelect remark remov report report report retir rid run said say say schedul section secur sen sen senat senat separ serious set show speak stay step strip team tell throughout time time today today today today today transit tri true turn vet vet vote vote vote voter want wapo washington washington way well whether wide will will will will will work work york"
"Conservative",72,"mm","account accus accus accus activist activist activist addit advertis advic afghanistan air air also america america america american american anoth antiwar antiwar antiwar apart appli armi attend audio back back balanc blogger bodi bomb bother broadcast can caught charg charg charg citi civilian civilian claim claim clip committe committe communist communist confront confront congress coordin corner correspond countri creat creat crimin crimin cut cut cut day day dedic dedic dedic dedic deni didn didn differ divis dog don done effort end event ever exact fals fashion februari felt file food foundat foundat foundat fraud free free fun futur gave general get got grab group guid hall hand hang haven head hear heard help help help hey hope hot human hundr idea import innoc investig investig investig investig investig investig investig iraq iraq jack januari januari john john john john joint just just just kerri kerri kerri kerri kerri kerri kerri kerri kerri kerri kerri kerri kerri kerri kerri kerri kerri kerri kick kick known let lie like like like live make make mani mani march march media memori militari much murder need never new normal normal north north one open organ organ origin particular past past past person pictur pictur pictur piec power power present present press press product propos provid put report repres reput result routin run run said schedul scroll second second section sen sen senat senat septemb servic shot shot shoulder sign soldier soldier soldier soldier soldier soldier soldier soldier soldier soldier soldier south special stock stori subsequ substanti substanti sunday tape ten testimoni testimoni thank think think thinker third thought three time time time told tomorrow tonight tortur track transcript tri troop turn updat veteran vietnam vietnam villag villag war war war war war washington watch way week will will will will will win win women wonder young young young"
"Conservative",73,"ha","accompani accord actual aim analysi appear approach benefit best best box box can children children contain content control courag differ enforc entertain environ especi even everyon exercis explos former futur gap given help impos includ industri interest kind languag languag latter limit limit long loud major make market market million million movi movi movi much much notic now offer offic offic often parent parent parent parent polit price price produc product product put remain result review run see set show singl speak start still success ticket twice ultim varieti vast want whine wide will work work"
"Conservative",330,"ha","accord almost anyway attent ballot ballot ballot ballot ballot ballot ballot ballot ballot ballot begin bit board board board board board campaign campaign can challeng challeng challeng challeng challeng chang clear coleman coleman coleman coleman coleman continu count count count count cours court court current day day decid decis distinct done edg either elect elect end end end enough especi even even even eventu everi exist favor finish finish focus fortun four four franken franken franken franken franken franken franken franken franken gain gain get get got hand handl held howev imposs indic judg keep know law law like like littl look manag mark mark member member minnesota minnesota mission much norm number observ occupi one opportun outsid panel partisan past peopl pretti previous process proper prove provid rate rate real reason recogn recount recount recount recount recount recount reject reliabl remain remark report requir review seat secretari secretari seem seen seen senat serv short sinc soon stabil star start state state state state state stori stori strong swing system thank think though top tremend trend tri tribun understand use use vote vote warn wasn whose wild will will will will will will will will winner worker written"
"Liberal",211,"tpm","accord aggress among behind big blue broad campaign campaign class class click coupl defin dem direct effort effort especi exact fals famili first flag four fulli function get hope host imag includ interest key kind labor labor labor learn michigan muslim new next note obama obama obama obama obama obama obama obama ohio one one pennsylvania prove realli record right rumor say second seek senat senat senat set show sign signal smith smith smith spokesperson start state state state steve still suffici support swing swing swing swing target target tell tell territori testimoni thus toward union union union union union voter voter voter week white will will wisconsin work work work"
"Liberal",268,"db","ago ago almost also alway ask bring busi campaign can candid certain chairman charg cite commerc committe congress decid exampl exampl exampl fanni fanni find freddi freddi full get give god good john just just know known lead less linktocommentspostcount lot mac mae maverick mccain need one palin parti parti peopl point postcounttb power push quot reform reform regul regul repres said senat shot shot side specif street support suspend take take talk think think though time tri tri tri two two understand wall warn way will wonder wrong year year year year"
"Liberal",203,"db","abil abil accept accomplish acknowledg act action adopt afford afghan afghanistan afghanistan afghanistan afghanistan afghanistan afghanistan aliv alli alon along alreadi alreadi alreadi also also american american american american answer anyth arm armi arrog associ back balanc barack bay believ best best big biggest bipartisan block bolster boy branch branch bring brought bunch buy call can can can captur captur case case case challeng challeng challeng charg charg charg charg choic choic chosen civilian clear clear clear close combat combat come come come commiss commiss common complic conduct conduct conflict congress congress congress congress congress congress congress congress congress congress congress congress congress congress consequ consist constitut constitut coordin countri countri court court court court court court court court court court creat crime critic danger danger decid decid decis decis dedic defend definit delay delay democrat democrat democrat demonstr desir detaine detaine detaine detaine detaine detaine detent detent difficult difficult digbyi direct district district effort effort effort elect elimin end end end enemi enemi engag ensur ensur escal escal escal escal establish european even even even even even even even ever evid exclus execut expert expert expert explicit explicit extraordinari eye fair fashion favor fear fear fear feder feder feel file final first first fisa focus focus form forward forward fourth frank full futur game game gather get get good govern govern govern great great guantanamo guantanamo guid guy hand hand hear hell high hole home honest hope hope hope hundr hundr idea impli import import import individu inevit inform insist insist instanc intellig intellig invit iraq issu issu issu judg judg just just just justic keep keep kill kill knew know know know know last last law leader left left legal legal legisl legisl legisl level like like like like linktocommentspostcount look look look look lot lot lot low main make make make make make make man mandat mani mani mani mani matter matter may may may mayb mayb mean mike militari militari modern month movement nanci nation nation nation nation necessari need neighbor never new notion now now obama odd often old one one one one open order order organ pakistan parti pass peopl place play point polici polici polici pose pose posit postcounttb power power power practic practic presid pretend principl probabl probabl procedur proceed proceed proceed proceed proceed proceed proclaim prompt protect protect pursu put put qaeda question question rather real realiti realiz realli reason reason receiv regardless regim regim reject remain remain remark repeat resolv resolv resolv resourc respons respons reveal right right right risk role rule rule russian said say scale scheme second secur secur see seem seem seen set set sever signific simpli sinc skeptic skeptic soldier soviet state strang strateg street strike strong success sudden sudden suffer suit suprem suprem suprem tabl take taliban talk ten terrorist terrorist terrorist terrorist terrorist thing third threat threat thursday tie time today today took tortur tough trial trial troop troop troop true unit upcom urg urg urg use use use valid villag want war war war war war war war war war water way way way weigh western western whether whole will will will win won won word word work worri worth year year year"
"Conservative",102,"ha","accord ago anyon anyway appropri ban break can can check civil compromis continu cooper court credibl crisi day declar demonstr depress dictat document don done doubt elect elect elect elect elect emerg enforc far find find get haven heard hide hold honest indic insist last let like longer look lose make make manag match mean now number obvious offer offic opposit outcom particip particip particip photo polit predict reach real realli reelect refus releas releas resolv result result result result right robert run shock sit speech spoken time total total truth two voic vote vote vote war week weren will will will will without won work zero"
"Liberal",269,"tp","accord achiev action adam administr agreement aid also announc anonym anyth ask ask away bailout bailout bailout barack billion billion campaign can candid candid candid capitol care caucus chairman chief chuck colleagu come come committe committe congress congress congression consensus dana day decis dem democrat democrat detail detail didn doesn enter enthusiast far financi financi financi frank frank frank frank frank get guess hasn help help help help help hill home hour hous hous hous hous hous hous hous idea idea idea indic institut involv jim john jump kind know last late laugh lawmak lawmak leader leader leader leader left left left legisl lock major mark market mccain mccain mccain mccain mccain mccain mccain mccain mccain mccain mccain mccain mccain mccain mccain mccain meet meet mention mix mock morn need negoti negoti negoti negoti negoti negoti negoti new next night nobodi obama obama obama obama offici one one order palin particular plan plan point politico politico post post prefer presidenti presidenti presidenti propos propos rank rather raz realli reject reject reject rep rep rep report report report republican republican republican republican republican rescu return return ridicul right right room said said said said sarah save say second sen sen senat senat servic servic simpli sit someth speak staff support suspend take take talk talk tell ten thursday thus time told told top toward updat want want want want washington washington washington will yesterday york"
"Conservative",32,"mm","affair afraid alreadi also also also among antiwar appeal appear ask base big bit bolster boost campaign campaign candid charli chose clark code comment commiss commiss committe committe consid contend contend council cours credenti credenti democrat democrat despit difficult doesn email endors endors experi favorit florida foreign foreign former friend game gen give give good good gop governor group guy happen hard heat hell help hillari hillari homeland hous hous huckabe ident intellig iraq isn job just just just just key kid know last last last lead leav let let like long look loss lot make mate mccain mccain mccain middl mike militari mitt model moder move name near need next night night night now obama obama odd old one pennsylvania perman pick pick polit popular power predict predict presid presid presid presidenti primari put put reagan republican richard romney romney ronald run run rush say secur secur see select senat septemb share six someon sort southern still studi take test think think threaten ticket ticket ticket time top trail tuesday type vice want want want way weak west white will will will wing wish worri"
"Liberal",25,"tp","activ actual address agenda also america announc argu around ask attack avoid big big bold bold brief brook bush bush bush can capitol claim claim congress congress congress congress congress congress congress congress congress congress congress congress continu contract control current dana defens democrat democrat describ deserv done earn enact end energi expect expect fact fair fellow final flv get haven hill histori hope hous howev idea immigr institut item key label label last law law leadership level major mark measur measur member new new note noth noth noth noth number one ope parti past past pick plan polit possibl prais presid presid presid press previous problem propos propos public reason reason recent recent rememb report republican republican republican revolut say scale secur senior sever shown sign signific signific social state state take take term thing think thoma throw time titl today union union watch white will won wrote year year year year year year year york"
"Conservative",111,"ha","abu accept accord accord account adam address admit age aggress along also also also although american anim anoth anoth answer appear argu around around ask ask associ attack bar bear begin believ believ believ believ believ believ believ believ bin bin bin bin bin blog book call call can can career caus chang christian clear come come come come comment compromis control cours creat creat date daughter day day decid declar describ destroy detail differ difficult direct disclos discuss divid doesn doubt earlier element establish establish establish even even even everi everi everyth expect explain explain face fact faith feel fight fight fight fight final find fire first first first fli follow follow fought give give glad goal goe good grant grant guid guid guid guid hang hell hell help help home home hope horror hous howev incid incid inde initi insist inspir instanc iron islam islam islam islam islam islam jew job judg judgment judgment judgment just keep kill kill know laden land let letter link long made make make mani mani mean member mention messag messag messag might moham month motiv much muslim muslim muslim muslim muslim muslim muslim muslim muslim muslim muslim muslim never next next note now occas octob one one one order osama other other other other part part particular partner path peopl peopl peopl peopl peopl perform period permiss permiss permiss permiss permit person person place point popular popular power power presenc previous proper punish question realiz receiv refer regular regular reject reject reliabl religion religion repli return reveal reveal reveal revel revel reward right rise said save say say say say say say say say second segment sent sent sent set sign sign site societi split star still straight success success suffer suffer suggest sun sun support take take tell tell tell ten therefor thing thing think third thousand thousand three throw time time told translat translat translat travel truth two ultim upon urg victim victori view visit wage wage war war warn warn water way way way week went whatev whether will will will will will will will will will will will will will will will will will will wit wit without without world wrong wrong yet"
"Conservative",24,"at","abl activ add advoc advoc advoc advoc alreadi altern altern altern altern altern among among among anoth argu around articl articl assum attack back becom behavior behind bill bill bill came campaign campaign can candid candid candid candidaci central check check choic choic chose cite clear clinton clinton clinton clinton clinton clinton clinton clinton clinton clinton clinton clinton clinton clinton clinton collect come communiti conclud conflict conspiraci convent coupl cover critic critic danger day declin democrat differ doctrin doctrin dollar draw either either elect endors even even expect fair fair fair familiar far favor fight fighter friend get get god goe good good good got govern govern hand hand hand high hillari hillari hillari hillari home howev howev husband impli implic inaugur inevit inform involv issu jack januari just know know known lack latest learn left left left leftist leftist lesson lie like like longer look lose magazin major major major major make man mani march media michael mind mouth mrs mrs much name nasti nation nation nation nation nation nation nation nation nation natur new new next next nomin nomin nomine novemb now now obama obama obama obama obama object observ obvious offer offer offer offer offici old one one open outlet parti partisan perhap perhap perhap plus polit polit polit politician power presid presidenti presidenti problem progress protest public punch quit race reader realist realiz record repres republican republican republican respect ride right right run say say say school search sen sen senat send short side situat socialist solut sort soul speak split stand stay still still still stop stop street strike style style summer sunday support support suspect talent teacher tell time titl tough two ugli use valu valu vast vast vote vote voter wait want want washington well well will will will william win win win wing wing without write write write write year york"
"Conservative",43,"at","action admir american american antiamerican arrog attitud bank bank barack barack belong blogger boy brain brand brought campaign career celebr chief citi citi class come commit control coupl cours creat crime critic day dictat disagre display display econom end end enthusiast eventu everi everyth evid evil execut execut execut execut execut expect fascin featur final flag flag flag flag fool forc general got govern hand heart hero human ideal imag import innoc innoc ironi issu just kill know launch led left left life like liter local lock look made make man man mani may mine missil month murder murder murder must nation nation necessari necessari need need neither new now nuclear obama obama obama offic offic one one patriot peopl peopl pictur pin place plenti point power problem promin proof proof quit quit realli realli recal regim remark rest revolut revolut revolut rich right right right routin russia said short side social someon sought spoke spread state state stupid support sure suspect terrorist theori third throughout tortur toward truth typic unit violent wealth wear whether wish work world world wors wrong"
"Conservative",257,"ha","afford among ballot barack believ better bush calcul can cbs closer colleg come congression democrat democrat despit didn differ direct drill effect elect elector enthusiasm even explain first focus four gain get given hope import import import includ includ independ iowa john juli larg last last latest latest led like like like lose may may mccain mccain mccain mccain mccain mccain mean michigan momentum movement news newsweek newsweek newsweek newsweek newsweek newsweek none note now number obama obama obama obama overal parti parti pennsylvania perhap point poll poll poll poll poll poll poll predict predict previous project promis pull pure race rasmussen rasmussen recent regist regist remain repres republican respect sampl sampl sampl see seem seen seiz shift shift show show show shown sinc six slight small small split split spread state state state still still survey though three tie time toward travel trend tri unclear valu voter voter voter voter voter washington week week well will will will won"
"Conservative",88,"at","abc accur acknowledg acknowledg air antiamerican apolog apolog apolog apolog apolog assumpt barack behalf believ believ bill broadcast campaign can captur certain chicago church church clinton comfort comment comment context controversi countri coverag deepli deepli emphasi excerpt explain familiar felt flaw foreign friday great help hillari hope hope hous inappropri inappropri interview just latest left like longtim look made made made make mayb mention never news news now obama obama obama obama obama obama obama odd offend offens onlin pastor peopl polici presidenti public race realli recount relat rest retir reverend reverend said said said show show show sinc someon stay step stori strang stuff suggest suppos talk tape tell tell threaten thursday tie time tom tomorrow tour unless view well white whose will will work wright wright wright wright wright wright"
